id,sku,supplier,warehouse,supply_order_id,quantity,received_date,broken_quantity,broken_date,broken_stage
158,TIR-100,Supplier D,IL,158,140,2023-01-16,4,2023-05-15,assembly
159,PTO-100,Supplier C,FL,159,127,2023-01-16,10,2023-02-03,field
160,FUE-100,Supplier E,NY,160,119,2022-12-29,5,2023-03-09,receiving
161,ENG-200,Supplier A,TX,161,89,2023-01-01,8,2023-02-08,receiving
162,TRN-200,Supplier C,NY,162,88,2023-01-01,5,2023-02-17,assembly
163,HYD-200,Supplier C,TX,163,95,2022-12-26,4,2023-04-11,receiving
164,FAX-200,Supplier D,CA,164,91,2022-12-28,1,2023-01-29,receiving
165,RAX-200,Supplier D,TX,165,89,2023-01-24,4,2023-04-24,assembly
166,CAB-200,Supplier E,TX,166,99,2023-01-09,4,2023-01-29,assembly
167,ECU-200,Supplier A,CA,167,108,2023-01-02,5,2023-01-10,receiving
168,TIR-200,Supplier D,NY,168,91,2023-02-04,6,2023-05-31,field
169,PTO-200,Supplier C,IL,169,92,2023-01-11,4,2023-02-15,assembly
170,FUE-200,Supplier E,FL,170,92,2023-01-04,8,2023-04-30,field
171,ENG-300,Supplier B,CA,171,92,2022-12-29,6,2023-03-08,assembly
172,TRN-300,Supplier C,IL,172,89,2023-01-09,4,2023-02-12,receiving
173,HYD-300,Supplier C,IL,173,93,2023-01-14,8,2023-05-06,field
174,FAX-300,Supplier D,CA,174,93,2023-01-04,3,2023-03-17,assembly
175,RAX-300,Supplier B,TX,175,100,2023-01-04,2,2023-04-11,assembly
176,CAB-300,Supplier C,CA,176,85,2022-12-25,6,2023-01-13,field
177,ECU-300,Supplier A,TX,177,92,2023-01-17,4,2023-02-09,assembly
178,TIR-300,Supplier D,NY,178,83,2023-01-24,2,2023-01-28,field
179,PTO-300,Supplier C,NY,179,106,2023-01-03,7,2023-03-11,receiving
180,FUE-300,Supplier E,FL,180,93,2023-01-09,7,2023-01-09,assembly
181,ENG-400,Supplier B,IL,181,100,2022-12-31,4,2023-02-25,assembly
182,TRN-400,Supplier E,TX,182,91,2023-01-18,10,2023-03-07,field
183,HYD-400,Supplier A,TX,183,91,2023-01-10,8,2023-01-16,assembly
184,FAX-400,Supplier A,NY,184,90,2023-01-12,4,2023-04-10,assembly
185,RAX-400,Supplier B,NY,185,99,2023-01-02,7,2023-03-16,assembly
186,CAB-400,Supplier C,NY,186,95,2022-12-22,6,2023-01-07,assembly
187,ECU-400,Supplier A,IL,187,96,2023-01-06,2,2023-03-01,field
188,TIR-400,Supplier D,TX,188,92,2023-01-24,6,2023-05-15,assembly
189,PTO-400,Supplier C,FL,189,95,2022-12-28,6,2023-03-08,receiving
190,FUE-400,Supplier A,NY,190,94,2023-01-18,3,2023-03-08,receiving
191,ENG-500,Supplier A,TX,191,159,2022-12-19,5,2023-03-24,assembly
192,TRN-500,Supplier B,FL,192,157,2023-01-06,2,2023-03-13,field
193,HYD-500,Supplier A,FL,193,146,2023-01-16,6,2023-03-10,assembly
194,FAX-500,Supplier A,TX,194,154,2023-01-05,11,2023-02-07,field
195,RAX-500,Supplier D,TX,195,141,2022-12-18,7,2023-01-08,assembly
196,CAB-500,Supplier E,CA,196,152,2022-12-19,8,2023-02-17,field
197,ECU-500,Supplier C,FL,197,146,2023-01-23,5,2023-03-28,receiving
198,TIR-500,Supplier B,IL,198,145,2022-12-25,4,2023-01-11,assembly
199,PTO-500,Supplier D,FL,199,138,2023-01-02,14,2023-02-18,field
200,FUE-500,Supplier E,CA,200,152,2023-01-14,12,2023-04-29,receiving
201,ENG-100,Supplier B,NY,201,120,2023-02-07,3,2023-05-24,receiving
202,TRN-100,Supplier B,NY,202,125,2023-01-29,10,2023-05-03,receiving
203,HYD-100,Supplier E,CA,203,119,2023-02-23,9,2023-06-09,field
204,FAX-100,Supplier D,CA,204,120,2023-02-21,8,2023-03-27,field
205,RAX-100,Supplier D,FL,205,128,2023-02-23,14,2023-06-13,assembly
206,CAB-100,Supplier E,TX,206,119,2023-02-15,3,2023-04-01,receiving
207,ECU-100,Supplier E,CA,207,120,2023-01-31,7,2023-05-15,field
208,TIR-100,Supplier B,FL,208,120,2023-02-02,8,2023-02-19,assembly
209,PTO-100,Supplier C,IL,209,122,2023-02-17,6,2023-02-21,assembly
210,FUE-100,Supplier E,FL,210,118,2023-01-25,6,2023-03-03,receiving
211,ENG-200,Supplier B,NY,211,82,2023-02-03,1,2023-06-03,field
212,TRN-200,Supplier B,CA,212,87,2023-01-25,7,2023-02-05,assembly
213,HYD-200,Supplier C,FL,213,91,2023-02-01,3,2023-02-12,assembly
214,FAX-200,Supplier A,TX,214,88,2023-01-27,7,2023-02-23,assembly
215,RAX-200,Supplier B,NY,215,87,2023-02-05,5,2023-05-17,field
216,CAB-200,Supplier C,NY,216,79,2023-02-09,4,2023-03-24,receiving
217,ECU-200,Supplier E,IL,217,79,2023-01-31,7,2023-03-19,receiving
218,TIR-200,Supplier D,NY,218,93,2023-01-27,4,2023-05-04,assembly
219,PTO-200,Supplier C,TX,219,84,2023-02-22,6,2023-03-11,receiving
220,FUE-200,Supplier A,IL,220,83,2023-02-02,4,2023-04-18,receiving
221,ENG-300,Supplier B,IL,221,77,2023-02-02,0,,
222,TRN-300,Supplier B,TX,222,71,2023-02-05,4,2023-04-03,receiving
223,HYD-300,Supplier C,CA,223,81,2023-01-25,4,2023-05-02,field
224,FAX-300,Supplier A,NY,224,77,2023-02-13,3,2023-02-28,assembly
225,RAX-300,Supplier B,IL,225,66,2023-01-28,2,2023-04-03,field
226,CAB-300,Supplier E,IL,226,82,2023-02-05,3,2023-03-02,receiving
227,ECU-300,Supplier C,FL,227,75,2023-02-07,1,2023-04-05,receiving
228,TIR-300,Supplier B,FL,228,74,2023-02-13,2,2023-03-28,field
229,PTO-300,Supplier C,TX,229,74,2023-02-19,5,2023-04-29,receiving
230,FUE-300,Supplier E,FL,230,71,2023-01-31,8,2023-03-14,assembly
231,ENG-400,Supplier A,FL,231,81,2023-01-27,4,2023-04-10,field
232,TRN-400,Supplier B,CA,232,83,2023-01-19,9,2023-02-07,field
233,HYD-400,Supplier C,CA,233,90,2023-02-14,4,2023-05-19,assembly
234,FAX-400,Supplier A,CA,234,89,2023-02-01,5,2023-03-29,receiving
235,RAX-400,Supplier D,TX,235,90,2023-01-26,7,2023-02-03,field
236,CAB-400,Supplier C,IL,236,84,2023-02-02,6,2023-04-27,receiving
237,ECU-400,Supplier A,CA,237,85,2023-01-17,4,2023-01-24,assembly
238,TIR-400,Supplier D,FL,238,89,2023-02-12,2,2023-04-01,assembly
239,PTO-400,Supplier C,IL,239,93,2023-01-27,4,2023-02-25,receiving
240,FUE-400,Supplier E,TX,240,84,2023-02-07,4,2023-05-04,assembly
241,ENG-500,Supplier D,CA,241,126,2023-02-26,4,2023-04-28,assembly
242,TRN-500,Supplier B,NY,242,127,2023-02-13,9,2023-06-10,field
243,HYD-500,Supplier C,FL,243,139,2023-02-02,10,2023-05-20,field
244,FAX-500,Supplier D,FL,244,128,2023-03-03,9,2023-05-03,field
245,RAX-500,Supplier B,IL,245,130,2023-02-05,2,2023-05-17,field
246,CAB-500,Supplier E,TX,246,135,2023-02-12,2,2023-05-23,field
247,ECU-500,Supplier A,CA,247,121,2023-01-31,5,2023-04-17,field
248,TIR-500,Supplier B,IL,248,128,2023-02-01,8,2023-05-18,receiving
249,PTO-500,Supplier D,NY,249,136,2023-02-25,11,2023-03-23,assembly
250,FUE-500,Supplier E,IL,250,127,2023-02-06,7,2023-05-26,assembly
251,ENG-100,Supplier A,CA,251,165,2023-02-21,8,2023-04-23,assembly
252,TRN-100,Supplier C,IL,252,179,2023-03-10,11,2023-03-29,receiving
253,HYD-100,Supplier E,TX,253,179,2023-03-12,19,2023-07-04,assembly
254,FAX-100,Supplier A,TX,254,192,2023-02-15,7,2023-05-29,field
255,RAX-100,Supplier B,TX,255,176,2023-02-19,7,2023-03-12,assembly
256,CAB-100,Supplier C,FL,256,183,2023-02-23,4,2023-05-22,receiving
257,ECU-100,Supplier A,FL,257,175,2023-02-17,10,2023-02-23,receiving
258,TIR-100,Supplier D,CA,258,177,2023-03-13,6,2023-04-22,assembly
259,PTO-100,Supplier C,CA,259,190,2023-03-12,4,2023-04-30,assembly
260,FUE-100,Supplier A,IL,260,173,2023-03-11,8,2023-05-01,assembly
261,ENG-200,Supplier D,FL,261,190,2023-03-22,19,2023-06-11,assembly
262,TRN-200,Supplier B,CA,262,195,2023-03-06,12,2023-03-09,assembly
263,HYD-200,Supplier C,TX,263,171,2023-03-16,13,2023-04-30,assembly
264,FAX-200,Supplier D,IL,264,175,2023-02-26,9,2023-05-29,assembly
265,RAX-200,Supplier B,NY,265,183,2023-02-25,11,2023-06-03,assembly
266,CAB-200,Supplier C,NY,266,185,2023-03-02,15,2023-03-06,assembly
267,ECU-200,Supplier A,IL,267,169,2023-03-01,10,2023-05-05,receiving
268,TIR-200,Supplier B,IL,268,171,2023-03-07,14,2023-03-09,assembly
269,PTO-200,Supplier C,IL,269,179,2023-03-15,7,2023-03-26,receiving
270,FUE-200,Supplier E,FL,270,179,2023-03-04,15,2023-05-30,assembly
271,ENG-300,Supplier B,NY,271,82,2023-03-04,4,2023-05-04,receiving
272,TRN-300,Supplier C,FL,272,76,2023-02-25,4,2023-03-12,field
273,HYD-300,Supplier E,NY,273,87,2023-03-16,13,2023-07-10,field
274,FAX-300,Supplier D,CA,274,86,2023-03-07,3,2023-04-05,receiving
275,RAX-300,Supplier B,NY,275,88,2023-03-02,8,2023-03-23,receiving
276,CAB-300,Supplier E,FL,276,79,2023-02-25,5,2023-04-24,field
277,ECU-300,Supplier E,IL,277,91,2023-03-12,2,2023-07-04,assembly
278,TIR-300,Supplier D,IL,278,90,2023-03-04,3,2023-05-08,assembly
279,PTO-300,Supplier C,NY,279,83,2023-02-22,5,2023-04-02,assembly
280,FUE-300,Supplier A,NY,280,86,2023-03-07,7,2023-03-19,assembly
281,ENG-400,Supplier A,TX,281,129,2023-02-24,8,2023-06-08,receiving
282,TRN-400,Supplier B,IL,282,146,2023-03-03,12,2023-03-24,receiving
283,HYD-400,Supplier A,CA,283,145,2023-03-14,8,2023-06-16,receiving
284,FAX-400,Supplier A,CA,284,137,2023-02-28,8,2023-06-17,assembly
285,RAX-400,Supplier B,FL,285,141,2023-03-07,12,2023-04-04,receiving
286,CAB-400,Supplier E,NY,286,148,2023-02-24,5,2023-04-30,field
287,ECU-400,Supplier A,CA,287,135,2023-03-16,6,2023-04-25,receiving
288,TIR-400,Supplier B,IL,288,133,2023-03-05,5,2023-05-26,field
289,PTO-400,Supplier D,NY,289,127,2023-03-14,5,2023-03-21,assembly
290,FUE-400,Supplier A,NY,290,144,2023-02-21,5,2023-04-02,assembly
291,ENG-500,Supplier B,TX,291,148,2023-03-09,7,2023-05-20,assembly
292,TRN-500,Supplier E,IL,292,156,2023-02-15,12,2023-04-10,assembly
293,HYD-500,Supplier C,CA,293,158,2023-02-22,11,2023-06-06,field
294,FAX-500,Supplier A,IL,294,183,2023-03-18,12,2023-06-21,assembly
295,RAX-500,Supplier B,CA,295,175,2023-03-01,12,2023-03-24,assembly
296,CAB-500,Supplier C,NY,296,182,2023-02-25,6,2023-04-19,assembly
297,ECU-500,Supplier A,CA,297,174,2023-03-21,12,2023-06-22,field
298,TIR-500,Supplier B,FL,298,163,2023-02-22,7,2023-03-04,assembly
299,PTO-500,Supplier C,IL,299,173,2023-03-07,7,2023-04-06,assembly
300,FUE-500,Supplier E,CA,300,174,2023-03-06,12,2023-06-13,assembly
301,ENG-100,Supplier B,CA,301,190,2023-03-25,5,2023-06-14,receiving
302,TRN-100,Supplier B,IL,302,152,2023-03-22,4,2023-04-12,assembly
303,HYD-100,Supplier E,NY,303,196,2023-04-13,27,2023-04-24,receiving
304,FAX-100,Supplier D,CA,304,176,2023-04-21,4,2023-05-13,assembly
305,RAX-100,Supplier D,CA,305,175,2023-03-30,9,2023-07-13,assembly
306,CAB-100,Supplier C,FL,306,174,2023-04-13,9,2023-05-14,assembly
307,ECU-100,Supplier A,NY,307,171,2023-04-15,8,2023-05-19,assembly
308,TIR-100,Supplier D,TX,308,176,2023-04-04,8,2023-04-16,field
309,PTO-100,Supplier C,CA,309,163,2023-04-08,9,2023-06-26,assembly
310,FUE-100,Supplier E,CA,310,158,2023-03-24,5,2023-07-08,assembly
311,ENG-200,Supplier A,IL,311,165,2023-04-05,5,2023-07-17,assembly
312,TRN-200,Supplier C,CA,312,151,2023-04-09,9,2023-07-26,assembly
313,HYD-200,Supplier C,IL,313,155,2023-04-12,6,2023-04-19,assembly
314,FAX-200,Supplier D,FL,314,158,2023-04-20,4,2023-08-12,assembly
315,RAX-200,Supplier B,CA,315,159,2023-04-06,9,2023-06-10,receiving
316,CAB-200,Supplier C,FL,316,152,2023-03-22,8,2023-06-10,assembly
317,ECU-200,Supplier A,IL,317,175,2023-03-28,11,2023-05-15,receiving
318,TIR-200,Supplier D,FL,318,158,2023-04-20,7,2023-07-30,field
319,PTO-200,Supplier C,IL,319,175,2023-03-27,8,2023-06-10,field
320,FUE-200,Supplier A,TX,320,166,2023-03-30,12,2023-06-23,assembly
321,ENG-300,Supplier A,NY,321,172,2023-04-12,8,2023-06-15,field
322,TRN-300,Supplier B,NY,322,156,2023-04-10,4,2023-04-12,field
323,HYD-300,Supplier C,NY,323,151,2023-04-04,9,2023-05-27,field
324,FAX-300,Supplier D,FL,324,176,2023-03-26,8,2023-05-29,receiving
325,RAX-300,Supplier D,FL,325,149,2023-04-18,6,2023-06-22,field
326,CAB-300,Supplier E,IL,326,152,2023-04-15,12,2023-06-26,assembly
327,ECU-300,Supplier E,FL,327,161,2023-04-20,5,2023-05-30,assembly
328,TIR-300,Supplier B,IL,328,154,2023-03-29,8,2023-04-14,assembly
329,PTO-300,Supplier C,NY,329,173,2023-04-08,11,2023-06-27,receiving
330,FUE-300,Supplier A,CA,330,169,2023-03-31,10,2023-07-08,receiving
331,ENG-400,Supplier A,NY,331,138,2023-04-02,7,2023-06-30,assembly
332,TRN-400,Supplier B,FL,332,147,2023-03-29,11,2023-04-18,receiving
333,HYD-400,Supplier C,NY,333,149,2023-03-30,10,2023-05-12,field
334,FAX-400,Supplier A,NY,334,145,2023-04-21,7,2023-06-23,receiving
335,RAX-400,Supplier D,CA,335,168,2023-04-19,4,2023-06-12,receiving
336,CAB-400,Supplier E,IL,336,153,2023-04-13,8,2023-05-27,field
337,ECU-400,Supplier C,IL,337,153,2023-04-13,7,2023-04-14,assembly
338,TIR-400,Supplier D,CA,338,146,2023-04-11,7,2023-06-23,field
339,PTO-400,Supplier C,FL,339,159,2023-03-30,8,2023-05-22,receiving
340,FUE-400,Supplier B,CA,340,153,2023-04-04,4,2023-05-28,assembly
341,ENG-500,Supplier B,FL,341,149,2023-03-29,11,2023-05-29,assembly
342,TRN-500,Supplier C,CA,342,163,2023-03-29,10,2023-07-24,receiving
343,HYD-500,Supplier E,IL,343,148,2023-04-18,21,2023-05-27,field
344,FAX-500,Supplier A,TX,344,165,2023-03-29,11,2023-07-04,assembly
345,RAX-500,Supplier D,FL,345,163,2023-03-29,13,2023-06-07,receiving
