id,sku,supplier,warehouse,quantity,unit_price,date_ordered,promised_date,fulfilled_date,status
41,ENG-500,Supplier A,NY,121,76800,2022-08-19,2022-09-23,2022-10-15,fulfilled
42,TRN-500,Supplier C,FL,122,47520,2022-08-14,2022-09-16,2022-10-04,fulfilled
43,HYD-500,Supplier E,TX,123,16296,2022-08-31,2022-09-24,2022-10-15,fulfilled
44,FAX-500,Supplier A,TX,125,19200,2022-08-20,2022-09-17,2022-09-19,fulfilled
45,RAX-500,Supplier B,TX,117,25680,2022-08-20,2022-09-17,2022-09-19,fulfilled
46,CAB-500,Supplier C,IL,116,33264,2022-08-20,2022-09-20,2022-10-19,fulfilled
47,ECU-500,Supplier A,NY,125,7200,2022-09-05,2022-09-23,2022-10-13,fulfilled
48,TIR-500,Supplier D,NY,122,11400,2022-09-07,2022-09-24,2022-10-06,fulfilled
49,PTO-500,Supplier D,FL,123,9120,2022-08-25,2022-09-18,2022-09-21,fulfilled
50,FUE-500,Supplier A,NY,128,5760,2022-08-31,2022-09-19,2022-10-02,fulfilled
51,ENG-100,Supplier A,CA,69,4480,2022-09-14,2022-10-19,2022-11-08,fulfilled
52,TRN-100,Supplier B,NY,66,2996,2022-09-26,2022-10-26,2022-10-26,fulfilled
53,HYD-100,Supplier C,NY,74,970.2,2022-09-30,2022-10-21,2022-10-23,fulfilled
54,FAX-100,Supplier A,NY,75,1120,2022-09-28,2022-10-26,2022-10-29,fulfilled
55,RAX-100,Supplier D,FL,78,1330,2022-09-23,2022-10-18,2022-11-16,fulfilled
56,CAB-100,Supplier E,IL,69,1901.2,2022-09-28,2022-10-26,2022-11-06,fulfilled
57,ECU-100,Supplier A,IL,84,420,2022-10-07,2022-10-25,2022-11-19,fulfilled
58,TIR-100,Supplier D,TX,77,665,2022-10-10,2022-10-27,2022-10-30,fulfilled
59,PTO-100,Supplier D,CA,80,532,2022-09-25,2022-10-19,2022-10-31,fulfilled
60,FUE-100,Supplier E,TX,77,325.92,2022-10-08,2022-10-24,2022-11-11,fulfilled
61,ENG-200,Supplier A,TX,117,9280,2022-09-14,2022-10-19,2022-11-10,fulfilled
62,TRN-200,Supplier C,IL,106,5742,2022-09-18,2022-10-21,2022-10-29,fulfilled
63,HYD-200,Supplier E,IL,100,1969.1,2022-10-02,2022-10-26,2022-11-21,fulfilled
64,FAX-200,Supplier A,NY,112,2320,2022-09-22,2022-10-20,2022-10-21,fulfilled
65,RAX-200,Supplier D,CA,110,2755,2022-09-22,2022-10-17,2022-11-02,fulfilled
66,CAB-200,Supplier C,TX,107,4019.4,2022-09-24,2022-10-25,2022-11-16,fulfilled
67,ECU-200,Supplier A,TX,120,870,2022-09-30,2022-10-18,2022-10-21,fulfilled
68,TIR-200,Supplier B,CA,103,1551.5,2022-10-06,2022-10-20,2022-10-31,fulfilled
69,PTO-200,Supplier D,TX,101,1102,2022-09-28,2022-10-22,2022-11-14,fulfilled
70,FUE-200,Supplier B,CA,103,744.72,2022-09-25,2022-10-17,2022-10-17,fulfilled
71,ENG-300,Supplier A,NY,65,23200,2022-09-17,2022-10-22,2022-10-23,fulfilled
72,TRN-300,Supplier B,IL,64,15515,2022-09-25,2022-10-25,2022-10-29,fulfilled
73,HYD-300,Supplier A,IL,67,5075,2022-09-20,2022-10-17,2022-11-06,fulfilled
74,FAX-300,Supplier A,IL,73,5800,2022-09-23,2022-10-21,2022-10-25,fulfilled
75,RAX-300,Supplier D,IL,68,6887.5,2022-09-28,2022-10-23,2022-11-04,fulfilled
76,CAB-300,Supplier E,NY,73,9845.5,2022-09-29,2022-10-27,2022-11-22,fulfilled
77,ECU-300,Supplier A,FL,72,2175,2022-10-02,2022-10-20,2022-11-12,fulfilled
78,TIR-300,Supplier D,IL,65,3443.75,2022-10-02,2022-10-19,2022-11-16,fulfilled
79,PTO-300,Supplier C,TX,66,2871,2022-09-28,2022-10-19,2022-11-09,fulfilled
80,FUE-300,Supplier E,TX,71,1687.8,2022-10-06,2022-10-22,2022-11-19,fulfilled
81,ENG-400,Supplier A,NY,101,42400,2022-09-16,2022-10-21,2022-10-24,fulfilled
82,TRN-400,Supplier C,TX,118,26235,2022-09-20,2022-10-23,2022-10-27,fulfilled
83,HYD-400,Supplier E,TX,108,8996.75,2022-09-23,2022-10-17,2022-10-28,fulfilled
84,FAX-400,Supplier D,FL,125,10070,2022-09-22,2022-10-17,2022-11-11,fulfilled
85,RAX-400,Supplier D,TX,109,12587.5,2022-10-01,2022-10-26,2022-12-03,fulfilled
86,CAB-400,Supplier E,CA,109,17993.5,2022-09-27,2022-10-25,2022-11-10,fulfilled
87,ECU-400,Supplier C,FL,111,3935.25,2022-10-03,2022-10-24,2022-11-22,fulfilled
88,TIR-400,Supplier D,CA,106,6293.75,2022-10-08,2022-10-25,2022-11-29,fulfilled
89,PTO-400,Supplier C,NY,104,5247,2022-10-06,2022-10-27,2022-10-30,fulfilled
90,FUE-400,Supplier A,TX,103,3180,2022-10-01,2022-10-20,2022-10-23,fulfilled
91,ENG-500,Supplier A,IL,96,76800,2022-09-13,2022-10-18,2022-10-22,fulfilled
92,TRN-500,Supplier C,NY,85,47520,2022-09-19,2022-10-22,2022-11-07,fulfilled
93,HYD-500,Supplier E,NY,99,16296,2022-09-27,2022-10-21,2022-11-03,fulfilled
94,FAX-500,Supplier D,IL,87,18240,2022-09-24,2022-10-19,2022-10-25,fulfilled
95,RAX-500,Supplier D,FL,96,22800,2022-09-30,2022-10-25,2022-11-13,fulfilled
96,CAB-500,Supplier E,NY,93,32592,2022-09-23,2022-10-21,2022-11-11,fulfilled
97,ECU-500,Supplier A,CA,92,7200,2022-09-29,2022-10-17,2022-11-08,fulfilled
98,TIR-500,Supplier B,CA,89,12840,2022-10-11,2022-10-25,2022-11-05,fulfilled
99,PTO-500,Supplier D,FL,88,9120,2022-09-30,2022-10-24,2022-11-05,fulfilled
100,FUE-500,Supplier A,TX,86,5760,2022-09-29,2022-10-18,2022-10-22,fulfilled
101,ENG-100,Supplier D,TX,89,4256,2022-10-14,2022-11-24,2022-11-30,fulfilled
102,TRN-100,Supplier B,IL,85,2996,2022-10-25,2022-11-24,2022-11-24,fulfilled
103,HYD-100,Supplier E,FL,82,950.6,2022-10-26,2022-11-19,2022-12-10,fulfilled
104,FAX-100,Supplier D,IL,84,1064,2022-10-28,2022-11-22,2022-12-30,fulfilled
105,RAX-100,Supplier D,NY,77,1330,2022-10-24,2022-11-18,2022-11-24,fulfilled
106,CAB-100,Supplier C,TX,82,1940.4,2022-10-18,2022-11-18,2022-12-03,fulfilled
107,ECU-100,Supplier C,NY,90,415.8,2022-11-04,2022-11-25,2022-11-30,fulfilled
108,TIR-100,Supplier D,IL,75,665,2022-11-09,2022-11-26,2022-12-18,fulfilled
109,PTO-100,Supplier D,CA,82,532,2022-10-25,2022-11-18,2022-12-12,fulfilled
110,FUE-100,Supplier E,CA,87,325.92,2022-11-06,2022-11-22,2022-12-17,fulfilled
111,ENG-200,Supplier B,IL,84,9929.6,2022-10-13,2022-11-20,2022-11-20,fulfilled
112,TRN-200,Supplier E,NY,85,5626,2022-10-13,2022-11-18,2022-12-15,fulfilled
113,HYD-200,Supplier E,FL,85,1969.1,2022-10-27,2022-11-20,2022-12-04,fulfilled
114,FAX-200,Supplier D,CA,81,2204,2022-11-01,2022-11-26,2022-11-27,fulfilled
115,RAX-200,Supplier B,NY,81,3103,2022-10-25,2022-11-22,2022-12-01,fulfilled
116,CAB-200,Supplier E,CA,85,3938.2,2022-10-19,2022-11-16,2022-12-01,fulfilled
117,ECU-200,Supplier C,TX,76,861.3,2022-11-01,2022-11-22,2022-12-01,fulfilled
118,TIR-200,Supplier B,FL,88,1551.5,2022-11-10,2022-11-24,2022-12-08,fulfilled
119,PTO-200,Supplier D,FL,88,1102,2022-10-31,2022-11-24,2022-12-05,fulfilled
120,FUE-200,Supplier A,IL,90,696,2022-11-02,2022-11-21,2022-11-22,fulfilled
121,ENG-300,Supplier A,TX,79,23200,2022-10-13,2022-11-17,2022-12-14,fulfilled
122,TRN-300,Supplier B,NY,90,15515,2022-10-27,2022-11-26,2022-11-26,fulfilled
123,HYD-300,Supplier E,IL,87,4922.75,2022-10-25,2022-11-18,2022-12-06,fulfilled
124,FAX-300,Supplier D,CA,78,5510,2022-10-24,2022-11-18,2022-12-24,fulfilled
125,RAX-300,Supplier B,TX,83,7757.5,2022-10-19,2022-11-16,2022-11-27,fulfilled
126,CAB-300,Supplier E,NY,90,9845.5,2022-10-21,2022-11-18,2022-11-21,fulfilled
127,ECU-300,Supplier A,IL,94,2175,2022-11-03,2022-11-21,2022-11-22,fulfilled
128,TIR-300,Supplier B,TX,82,3878.75,2022-11-12,2022-11-26,2022-12-04,fulfilled
129,PTO-300,Supplier C,CA,86,2871,2022-11-01,2022-11-22,2022-11-22,fulfilled
130,FUE-300,Supplier A,CA,86,1740,2022-10-30,2022-11-18,2022-11-20,fulfilled
131,ENG-400,Supplier B,IL,69,45368,2022-10-19,2022-11-26,2022-12-03,fulfilled
132,TRN-400,Supplier B,FL,68,28355,2022-10-20,2022-11-19,2022-12-02,fulfilled
133,HYD-400,Supplier C,NY,71,9182.25,2022-10-29,2022-11-19,2022-11-28,fulfilled
134,FAX-400,Supplier A,FL,64,10600,2022-10-22,2022-11-19,2022-12-06,fulfilled
135,RAX-400,Supplier B,TX,65,14177.5,2022-10-22,2022-11-19,2022-11-27,fulfilled
136,CAB-400,Supplier C,TX,58,18364.5,2022-10-25,2022-11-25,2022-12-08,fulfilled
137,ECU-400,Supplier A,FL,64,3975,2022-11-07,2022-11-25,2022-12-12,fulfilled
138,TIR-400,Supplier B,CA,56,7088.75,2022-11-10,2022-11-24,2022-12-11,fulfilled
139,PTO-400,Supplier C,TX,60,5247,2022-11-01,2022-11-22,2022-12-12,fulfilled
140,FUE-400,Supplier A,TX,67,3180,2022-10-31,2022-11-19,2022-12-12,fulfilled
141,ENG-500,Supplier D,TX,105,72960,2022-10-15,2022-11-25,2022-12-30,fulfilled
142,TRN-500,Supplier C,FL,84,47520,2022-10-16,2022-11-18,2022-12-06,fulfilled
143,HYD-500,Supplier C,TX,103,16632,2022-10-28,2022-11-18,2022-12-14,fulfilled
144,FAX-500,Supplier D,CA,98,18240,2022-10-27,2022-11-21,2022-11-29,fulfilled
145,RAX-500,Supplier D,NY,94,22800,2022-11-01,2022-11-26,2022-12-21,fulfilled
146,CAB-500,Supplier E,FL,98,32592,2022-10-21,2022-11-18,2022-12-11,fulfilled
147,ECU-500,Supplier E,IL,88,6984,2022-10-31,2022-11-24,2022-12-19,fulfilled
148,TIR-500,Supplier D,TX,92,11400,2022-10-30,2022-11-16,2022-11-29,fulfilled
149,PTO-500,Supplier C,IL,87,9504,2022-10-26,2022-11-16,2022-11-22,fulfilled
150,FUE-500,Supplier A,FL,88,5760,2022-11-04,2022-11-23,2022-12-17,fulfilled
151,ENG-100,Supplier B,TX,127,4793.6,2022-11-14,2022-12-22,2022-12-30,fulfilled
152,TRN-100,Supplier B,NY,131,2996,2022-11-23,2022-12-23,2022-12-28,fulfilled
153,HYD-100,Supplier A,NY,137,980,2022-11-29,2022-12-26,2023-01-10,fulfilled
154,FAX-100,Supplier D,TX,130,1064,2022-12-02,2022-12-27,2022-12-31,fulfilled
155,RAX-100,Supplier D,FL,142,1330,2022-12-02,2022-12-27,2023-02-06,fulfilled
156,CAB-100,Supplier C,IL,128,1940.4,2022-11-26,2022-12-27,2023-01-08,fulfilled
157,ECU-100,Supplier E,NY,128,407.4,2022-12-03,2022-12-27,2023-01-02,fulfilled
158,TIR-100,Supplier D,IL,140,665,2022-12-03,2022-12-20,2023-01-16,fulfilled
159,PTO-100,Supplier C,FL,127,554.4,2022-12-04,2022-12-25,2023-01-16,fulfilled
160,FUE-100,Supplier E,NY,119,325.92,2022-12-10,2022-12-26,2022-12-29,fulfilled
161,ENG-200,Supplier A,TX,89,9280,2022-11-12,2022-12-17,2023-01-01,fulfilled
162,TRN-200,Supplier C,NY,88,5742,2022-11-24,2022-12-27,2023-01-01,fulfilled
163,HYD-200,Supplier C,TX,95,2009.7,2022-12-03,2022-12-24,2022-12-26,fulfilled
164,FAX-200,Supplier D,CA,91,2204,2022-11-23,2022-12-18,2022-12-28,fulfilled
165,RAX-200,Supplier D,TX,89,2755,2022-11-24,2022-12-19,2023-01-24,fulfilled
166,CAB-200,Supplier E,TX,99,3938.2,2022-11-21,2022-12-19,2023-01-09,fulfilled
167,ECU-200,Supplier A,CA,108,870,2022-12-09,2022-12-27,2023-01-02,fulfilled
168,TIR-200,Supplier D,NY,91,1377.5,2022-12-08,2022-12-25,2023-02-04,fulfilled
169,PTO-200,Supplier C,IL,92,1148.4,2022-11-27,2022-12-18,2023-01-11,fulfilled
170,FUE-200,Supplier E,FL,92,675.12,2022-12-08,2022-12-24,2023-01-04,fulfilled
171,ENG-300,Supplier B,CA,92,24824,2022-11-10,2022-12-18,2022-12-29,fulfilled
172,TRN-300,Supplier C,IL,89,14355,2022-11-16,2022-12-19,2023-01-09,fulfilled
173,HYD-300,Supplier C,IL,93,5024.25,2022-11-29,2022-12-20,2023-01-14,fulfilled
174,FAX-300,Supplier D,CA,93,5510,2022-11-22,2022-12-17,2023-01-04,fulfilled
175,RAX-300,Supplier B,TX,100,7757.5,2022-11-21,2022-12-19,2023-01-04,fulfilled
176,CAB-300,Supplier C,CA,85,10048.5,2022-11-16,2022-12-17,2022-12-25,fulfilled
177,ECU-300,Supplier A,TX,92,2175,2022-12-04,2022-12-22,2023-01-17,fulfilled
178,TIR-300,Supplier D,NY,83,3443.75,2022-12-03,2022-12-20,2023-01-24,fulfilled
179,PTO-300,Supplier C,NY,106,2871,2022-12-04,2022-12-25,2023-01-03,fulfilled
180,FUE-300,Supplier E,FL,93,1687.8,2022-12-07,2022-12-23,2023-01-09,fulfilled
181,ENG-400,Supplier B,IL,100,45368,2022-11-10,2022-12-18,2022-12-31,fulfilled
182,TRN-400,Supplier E,TX,91,25705,2022-11-21,2022-12-27,2023-01-18,fulfilled
183,HYD-400,Supplier A,TX,91,9275,2022-11-27,2022-12-24,2023-01-10,fulfilled
184,FAX-400,Supplier A,NY,90,10600,2022-11-27,2022-12-25,2023-01-12,fulfilled
185,RAX-400,Supplier B,NY,99,14177.5,2022-11-19,2022-12-17,2023-01-02,fulfilled
186,CAB-400,Supplier C,NY,95,18364.5,2022-11-21,2022-12-22,2022-12-22,fulfilled
187,ECU-400,Supplier A,IL,96,3975,2022-12-07,2022-12-25,2023-01-06,fulfilled
188,TIR-400,Supplier D,TX,92,6293.75,2022-12-10,2022-12-27,2023-01-24,fulfilled
189,PTO-400,Supplier C,FL,95,5247,2022-12-03,2022-12-24,2022-12-28,fulfilled
190,FUE-400,Supplier A,NY,94,3180,2022-12-06,2022-12-25,2023-01-18,fulfilled
191,ENG-500,Supplier A,TX,159,76800,2022-11-12,2022-12-17,2022-12-19,fulfilled
192,TRN-500,Supplier B,FL,157,51360,2022-11-25,2022-12-25,2023-01-06,fulfilled
193,HYD-500,Supplier A,FL,146,16800,2022-11-28,2022-12-25,2023-01-16,fulfilled
194,FAX-500,Supplier A,TX,154,19200,2022-11-20,2022-12-18,2023-01-05,fulfilled
195,RAX-500,Supplier D,TX,141,22800,2022-11-22,2022-12-17,2022-12-18,fulfilled
196,CAB-500,Supplier E,CA,152,32592,2022-11-20,2022-12-18,2022-12-19,fulfilled
197,ECU-500,Supplier C,FL,146,7128,2022-12-06,2022-12-27,2023-01-23,fulfilled
198,TIR-500,Supplier B,IL,145,12840,2022-12-11,2022-12-25,2022-12-25,fulfilled
199,PTO-500,Supplier D,FL,138,9120,2022-11-26,2022-12-20,2023-01-02,fulfilled
200,FUE-500,Supplier E,CA,152,5587.2,2022-12-02,2022-12-18,2023-01-14,fulfilled
201,ENG-100,Supplier B,NY,120,4793.6,2022-12-19,2023-01-26,2023-02-07,fulfilled
202,TRN-100,Supplier B,NY,125,2996,2022-12-19,2023-01-18,2023-01-29,fulfilled
203,HYD-100,Supplier E,CA,119,950.6,2023-01-03,2023-01-27,2023-02-23,fulfilled
204,FAX-100,Supplier D,CA,120,1064,2022-12-26,2023-01-20,2023-02-21,fulfilled
205,RAX-100,Supplier D,FL,128,1330,2022-12-26,2023-01-20,2023-02-23,fulfilled
206,CAB-100,Supplier E,TX,119,1901.2,2022-12-20,2023-01-17,2023-02-15,fulfilled
207,ECU-100,Supplier E,CA,120,407.4,2023-01-02,2023-01-26,2023-01-31,fulfilled
208,TIR-100,Supplier B,FL,120,749,2023-01-09,2023-01-23,2023-02-02,fulfilled
209,PTO-100,Supplier C,IL,122,554.4,2023-01-05,2023-01-26,2023-02-17,fulfilled
210,FUE-100,Supplier E,FL,118,325.92,2023-01-02,2023-01-18,2023-01-25,fulfilled
211,ENG-200,Supplier B,NY,82,9929.6,2022-12-15,2023-01-22,2023-02-03,fulfilled
212,TRN-200,Supplier B,CA,87,6206,2022-12-26,2023-01-25,2023-01-25,fulfilled
213,HYD-200,Supplier C,FL,91,2009.7,2023-01-03,2023-01-24,2023-02-01,fulfilled
214,FAX-200,Supplier A,TX,88,2320,2022-12-24,2023-01-21,2023-01-27,fulfilled
215,RAX-200,Supplier B,NY,87,3103,2022-12-22,2023-01-19,2023-02-05,fulfilled
216,CAB-200,Supplier C,NY,79,4019.4,2022-12-25,2023-01-25,2023-02-09,fulfilled
217,ECU-200,Supplier E,IL,79,843.9,2022-12-26,2023-01-19,2023-01-31,fulfilled
218,TIR-200,Supplier D,NY,93,1377.5,2023-01-09,2023-01-26,2023-01-27,fulfilled
219,PTO-200,Supplier C,TX,84,1148.4,2023-01-04,2023-01-25,2023-02-22,fulfilled
220,FUE-200,Supplier A,IL,83,696,2022-12-31,2023-01-19,2023-02-02,fulfilled
221,ENG-300,Supplier B,IL,77,24824,2022-12-14,2023-01-21,2023-02-02,fulfilled
222,TRN-300,Supplier B,TX,71,15515,2022-12-25,2023-01-24,2023-02-05,fulfilled
223,HYD-300,Supplier C,CA,81,5024.25,2023-01-04,2023-01-25,2023-01-25,fulfilled
224,FAX-300,Supplier A,NY,77,5800,2022-12-21,2023-01-18,2023-02-13,fulfilled
225,RAX-300,Supplier B,IL,66,7757.5,2022-12-24,2023-01-21,2023-01-28,fulfilled
226,CAB-300,Supplier E,IL,82,9845.5,2022-12-28,2023-01-25,2023-02-05,fulfilled
227,ECU-300,Supplier C,FL,75,2153.25,2022-12-27,2023-01-17,2023-02-07,fulfilled
228,TIR-300,Supplier B,FL,74,3878.75,2023-01-13,2023-01-27,2023-02-13,fulfilled
229,PTO-300,Supplier C,TX,74,2871,2023-01-04,2023-01-25,2023-02-19,fulfilled
230,FUE-300,Supplier E,FL,71,1687.8,2023-01-07,2023-01-23,2023-01-31,fulfilled
231,ENG-400,Supplier A,FL,81,42400,2022-12-18,2023-01-22,2023-01-27,fulfilled
232,TRN-400,Supplier B,CA,83,28355,2022-12-18,2023-01-17,2023-01-19,fulfilled
233,HYD-400,Supplier C,CA,90,9182.25,2023-01-02,2023-01-23,2023-02-14,fulfilled
234,FAX-400,Supplier A,CA,89,10600,2022-12-26,2023-01-23,2023-02-01,fulfilled
235,RAX-400,Supplier D,TX,90,12587.5,2022-12-29,2023-01-23,2023-01-26,fulfilled
236,CAB-400,Supplier C,IL,84,18364.5,2022-12-18,2023-01-18,2023-02-02,fulfilled
237,ECU-400,Supplier A,CA,85,3975,2022-12-30,2023-01-17,2023-01-17,fulfilled
238,TIR-400,Supplier D,FL,89,6293.75,2023-01-09,2023-01-26,2023-02-12,fulfilled
239,PTO-400,Supplier C,IL,93,5247,2023-01-04,2023-01-25,2023-01-27,fulfilled
240,FUE-400,Supplier E,TX,84,3084.6,2023-01-02,2023-01-18,2023-02-07,fulfilled
241,ENG-500,Supplier D,CA,126,72960,2022-12-13,2023-01-23,2023-02-26,fulfilled
242,TRN-500,Supplier B,NY,127,51360,2022-12-28,2023-01-27,2023-02-13,fulfilled
243,HYD-500,Supplier C,FL,139,16632,2023-01-06,2023-01-27,2023-02-02,fulfilled
244,FAX-500,Supplier D,FL,128,18240,2022-12-29,2023-01-23,2023-03-03,fulfilled
245,RAX-500,Supplier B,IL,130,25680,2022-12-29,2023-01-26,2023-02-05,fulfilled
246,CAB-500,Supplier E,TX,135,32592,2022-12-22,2023-01-19,2023-02-12,fulfilled
247,ECU-500,Supplier A,CA,121,7200,2022-12-31,2023-01-18,2023-01-31,fulfilled
248,TIR-500,Supplier B,IL,128,12840,2023-01-08,2023-01-22,2023-02-01,fulfilled
249,PTO-500,Supplier D,NY,136,9120,2022-12-31,2023-01-24,2023-02-25,fulfilled
250,FUE-500,Supplier E,IL,127,5587.2,2023-01-11,2023-01-27,2023-02-06,fulfilled
251,ENG-100,Supplier A,CA,165,4480,2023-01-11,2023-02-15,2023-02-21,fulfilled
252,TRN-100,Supplier C,IL,179,2772,2023-01-22,2023-02-24,2023-03-10,fulfilled
253,HYD-100,Supplier E,TX,179,950.6,2023-01-27,2023-02-20,2023-03-12,fulfilled
254,FAX-100,Supplier A,TX,192,1120,2023-01-18,2023-02-15,2023-02-15,fulfilled
255,RAX-100,Supplier B,TX,176,1498,2023-01-22,2023-02-19,2023-02-19,fulfilled
256,CAB-100,Supplier C,FL,183,1940.4,2023-01-19,2023-02-19,2023-02-23,fulfilled
257,ECU-100,Supplier A,FL,175,420,2023-01-27,2023-02-14,2023-02-17,fulfilled
258,TIR-100,Supplier D,CA,177,665,2023-01-31,2023-02-17,2023-03-13,fulfilled
259,PTO-100,Supplier C,CA,190,554.4,2023-01-28,2023-02-18,2023-03-12,fulfilled
260,FUE-100,Supplier A,IL,173,336,2023-01-29,2023-02-17,2023-03-11,fulfilled
261,ENG-200,Supplier D,FL,190,8816,2023-01-11,2023-02-21,2023-03-22,fulfilled
262,TRN-200,Supplier B,CA,195,6206,2023-01-22,2023-02-21,2023-03-06,fulfilled
263,HYD-200,Supplier C,TX,171,2009.7,2023-01-31,2023-02-21,2023-03-16,fulfilled
264,FAX-200,Supplier D,IL,175,2204,2023-01-21,2023-02-15,2023-02-26,fulfilled
265,RAX-200,Supplier B,NY,183,3103,2023-01-22,2023-02-19,2023-02-25,fulfilled
266,CAB-200,Supplier C,NY,185,4019.4,2023-01-18,2023-02-18,2023-03-02,fulfilled
267,ECU-200,Supplier A,IL,169,870,2023-02-01,2023-02-19,2023-03-01,fulfilled
268,TIR-200,Supplier B,IL,171,1551.5,2023-02-05,2023-02-19,2023-03-07,fulfilled
269,PTO-200,Supplier C,IL,179,1148.4,2023-02-01,2023-02-22,2023-03-15,fulfilled
270,FUE-200,Supplier E,FL,179,675.12,2023-01-31,2023-02-16,2023-03-04,fulfilled
271,ENG-300,Supplier B,NY,82,24824,2023-01-08,2023-02-15,2023-03-04,fulfilled
272,TRN-300,Supplier C,FL,76,14355,2023-01-20,2023-02-22,2023-02-25,fulfilled
273,HYD-300,Supplier E,NY,87,4922.75,2023-01-31,2023-02-24,2023-03-16,fulfilled
274,FAX-300,Supplier D,CA,86,5510,2023-01-30,2023-02-24,2023-03-07,fulfilled
275,RAX-300,Supplier B,NY,88,7757.5,2023-01-24,2023-02-21,2023-03-02,fulfilled
276,CAB-300,Supplier E,FL,79,9845.5,2023-01-20,2023-02-17,2023-02-25,fulfilled
277,ECU-300,Supplier E,IL,91,2109.75,2023-01-31,2023-02-24,2023-03-12,fulfilled
278,TIR-300,Supplier D,IL,90,3443.75,2023-02-03,2023-02-20,2023-03-04,fulfilled
279,PTO-300,Supplier C,NY,83,2871,2023-01-30,2023-02-20,2023-02-22,fulfilled
280,FUE-300,Supplier A,NY,86,1740,2023-02-05,2023-02-24,2023-03-07,fulfilled
